"Metropolitan Statistical Area","Cheyenne, WY",98976
"Metropolitan Statistical Area","Fairbanks, AK",98971
"Metropolitan Statistical Area","Pinehurst - Southern Pines, NC",98682
"Metropolitan Statistical Area","Adrian, MI",98266
"Metropolitan Statistical Area","Rome, GA",97927
"Metropolitan Statistical Area","Cumberland, MD-WV",97915
"Metropolitan Statistical Area","Sevierville, TN",97892
"Metropolitan Statistical Area","Shelby, NC",97645
"Metropolitan Statistical Area","Ashtabula, OH",97493
"Metropolitan Statistical Area","Moses Lake, WA",97331
"Metropolitan Statistical Area","Cape Girardeau, MO-IL",96982
"Metropolitan Statistical Area","Dubuque, IA",96854
"Metropolitan Statistical Area","Paducah, KY-IL",96647
"Metropolitan Statistical Area","Albertville, AL",96109
"Metropolitan Statistical Area","Corning, NY",95796
"Metropolitan Statistical Area","Mayagüez, PR",95409
"Metropolitan Statistical Area","Pocatello, ID",94906
"Metropolitan Statistical Area","Brainerd, MN",94408
"Metropolitan Statistical Area","Clarksburg, WV",92822
"Metropolitan Statistical Area","Ocean City, NJ",92560
"Metropolitan Statistical Area","New Philadelphia - Dover, OH",92176
"Metropolitan Statistical Area","Corvallis, OR",92101
"Metropolitan Statistical Area","Sunbury, PA",91083
"Metropolitan Statistical Area","Parkersburg - Vienna, WV",90033
"Metropolitan Statistical Area","Pine Bluff, AR",89515
"Metropolitan Statistical Area","Hermiston - Pendleton, OR",88888
"Metropolitan Statistical Area","Beaver Dam, WI",87847
"Metropolitan Statistical Area","Ukiah, CA",87606
"Metropolitan Statistical Area","Grants Pass, OR",87393
"Metropolitan Statistical Area","Lufkin, TX",87092
